"source","target","context","translator_comments","developer_comments"
"Event","Подія","","",""
"Strong verification","Офіційна верифікація","","",""
"host request","запит (до мене?)","","",""
"Community","Спільнота","","",""
"Chat","Розмова","","",""
"reference","Відгук","","",""
"Stay","бути гостем(д.), візит(ім.)","","",""
"hosting","приймаю гостей","","",""
"surfing","мандрую","","",""
"surfer","мандрівник","","",""
"Host","людина що приймає гостей, гостинність","","",""
"surf request","запит(від мене?)","","",""
